model,hit,merge,hit_ms,merge_ms,agree
chain_unary_n16_k1_definable_fixed_i11.model,DEFINABLE,DEFINABLE,0.918,0.292,1
chain_unary_n16_k1_definable_fixed_i12.model,DEFINABLE,DEFINABLE,0.703,0.288,1
chain_unary_n16_k1_definable_fixed_i13.model,DEFINABLE,DEFINABLE,0.777,0.282,1
chain_unary_n16_k1_definable_fixed_i14.model,DEFINABLE,DEFINABLE,0.889,0.277,1
chain_unary_n16_k1_definable_fixed_i15.model,DEFINABLE,DEFINABLE,0.657,0.285,1
chain_unary_n16_k1_definable_fixed_i16.model,DEFINABLE,DEFINABLE,0.841,0.296,1
chain_unary_n16_k1_definable_fixed_i17.model,DEFINABLE,DEFINABLE,0.873,0.308,1
chain_unary_n16_k1_definable_fixed_i18.model,DEFINABLE,DEFINABLE,0.755,0.275,1
chain_unary_n16_k1_definable_fixed_i19.model,DEFINABLE,DEFINABLE,0.876,0.297,1
chain_unary_n16_k1_definable_fixed_i2.model,DEFINABLE,DEFINABLE,0.645,0.311,1
chain_unary_n16_k1_definable_fixed_i20.model,DEFINABLE,DEFINABLE,0.996,0.280,1
chain_unary_n16_k1_definable_fixed_i21.model,DEFINABLE,DEFINABLE,0.716,0.304,1
chain_unary_n16_k1_definable_fixed_i22.model,DEFINABLE,DEFINABLE,0.629,0.280,1
chain_unary_n16_k1_definable_fixed_i23.model,DEFINABLE,DEFINABLE,0.926,0.288,1
chain_unary_n16_k1_definable_fixed_i24.model,DEFINABLE,DEFINABLE,0.693,0.280,1
chain_unary_n16_k1_definable_fixed_i25.model,DEFINABLE,DEFINABLE,0.643,0.281,1
chain_unary_n16_k1_definable_fixed_i26.model,DEFINABLE,DEFINABLE,0.645,0.291,1
chain_unary_n16_k1_definable_fixed_i27.model,DEFINABLE,DEFINABLE,0.757,0.283,1
chain_unary_n16_k1_definable_fixed_i28.model,DEFINABLE,DEFINABLE,0.761,0.281,1
chain_unary_n16_k1_definable_fixed_i29.model,DEFINABLE,DEFINABLE,0.877,0.301,1
chain_unary_n16_k1_definable_fixed_i3.model,DEFINABLE,DEFINABLE,0.796,0.302,1
chain_unary_n16_k1_definable_fixed_i4.model,DEFINABLE,DEFINABLE,1.055,0.295,1
chain_unary_n16_k1_definable_fixed_i5.model,DEFINABLE,DEFINABLE,1.019,0.305,1
chain_unary_n16_k1_definable_fixed_i6.model,DEFINABLE,DEFINABLE,1.041,0.300,1
chain_unary_n16_k1_definable_fixed_i7.model,DEFINABLE,DEFINABLE,0.848,0.354,1
chain_unary_n16_k1_definable_fixed_i8.model,DEFINABLE,DEFINABLE,1.022,0.279,1
chain_unary_n16_k1_definable_fixed_i9.model,DEFINABLE,DEFINABLE,0.907,0.292,1
chain_unary_n16_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,1.025,0.296,1
chain_unary_n16_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.986,0.356,1
chain_unary_n16_k1_nondef_mix_i10.model,DEFINABLE,DEFINABLE,0.931,0.293,1
chain_unary_n16_k1_nondef_mix_i11.model,DEFINABLE,DEFINABLE,1.034,0.287,1
chain_unary_n16_k1_nondef_mix_i12.model,DEFINABLE,DEFINABLE,0.624,0.290,1
chain_unary_n16_k1_nondef_mix_i13.model,DEFINABLE,DEFINABLE,0.988,0.285,1
chain_unary_n16_k1_nondef_mix_i14.model,DEFINABLE,DEFINABLE,0.663,0.311,1
chain_unary_n16_k1_nondef_mix_i15.model,DEFINABLE,DEFINABLE,0.664,0.282,1
chain_unary_n16_k1_nondef_mix_i16.model,DEFINABLE,DEFINABLE,0.869,0.310,1
chain_unary_n16_k1_nondef_mix_i17.model,DEFINABLE,DEFINABLE,0.667,0.278,1
chain_unary_n16_k1_nondef_mix_i18.model,DEFINABLE,DEFINABLE,0.613,0.317,1
chain_unary_n16_k1_nondef_mix_i19.model,DEFINABLE,DEFINABLE,0.645,0.303,1
chain_unary_n16_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.655,0.367,1
chain_unary_n16_k1_nondef_mix_i20.model,DEFINABLE,DEFINABLE,0.644,0.282,1
chain_unary_n16_k1_nondef_mix_i21.model,DEFINABLE,DEFINABLE,0.921,0.277,1
chain_unary_n16_k1_nondef_mix_i22.model,DEFINABLE,DEFINABLE,0.712,0.322,1
chain_unary_n16_k1_nondef_mix_i23.model,DEFINABLE,DEFINABLE,0.655,0.287,1
chain_unary_n16_k1_nondef_mix_i24.model,DEFINABLE,DEFINABLE,0.916,0.287,1
chain_unary_n16_k1_nondef_mix_i25.model,DEFINABLE,DEFINABLE,0.708,0.282,1
chain_unary_n16_k1_nondef_mix_i26.model,DEFINABLE,DEFINABLE,0.706,0.297,1
chain_unary_n16_k1_nondef_mix_i27.model,DEFINABLE,DEFINABLE,0.971,0.278,1
chain_unary_n16_k1_nondef_mix_i28.model,DEFINABLE,DEFINABLE,0.994,0.284,1
chain_unary_n16_k1_nondef_mix_i29.model,DEFINABLE,DEFINABLE,0.958,0.285,1
chain_unary_n16_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,0.868,0.309,1
chain_unary_n16_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,1.012,0.306,1
chain_unary_n16_k1_nondef_mix_i5.model,DEFINABLE,DEFINABLE,1.052,0.285,1
chain_unary_n16_k1_nondef_mix_i6.model,DEFINABLE,DEFINABLE,1.227,0.279,1
chain_unary_n16_k1_nondef_mix_i7.model,DEFINABLE,DEFINABLE,0.774,0.286,1
chain_unary_n16_k1_nondef_mix_i8.model,DEFINABLE,DEFINABLE,0.763,0.348,1
chain_unary_n16_k1_nondef_mix_i9.model,DEFINABLE,DEFINABLE,0.748,0.276,1
chain_unary_n32_k1_definable_fixed_i0.model,DEFINABLE,DEFINABLE,2.489,1.354,1
chain_unary_n32_k1_definable_fixed_i1.model,DEFINABLE,DEFINABLE,2.256,1.138,1
chain_unary_n32_k1_definable_fixed_i10.model,DEFINABLE,DEFINABLE,2.035,1.168,1
chain_unary_n32_k1_definable_fixed_i11.model,DEFINABLE,DEFINABLE,2.592,1.132,1
chain_unary_n32_k1_definable_fixed_i12.model,DEFINABLE,DEFINABLE,2.081,1.201,1
chain_unary_n32_k1_definable_fixed_i13.model,DEFINABLE,DEFINABLE,2.252,1.270,1
chain_unary_n32_k1_definable_fixed_i14.model,DEFINABLE,DEFINABLE,2.260,1.340,1
chain_unary_n32_k1_definable_fixed_i15.model,DEFINABLE,DEFINABLE,2.153,1.499,1
chain_unary_n32_k1_definable_fixed_i16.model,DEFINABLE,DEFINABLE,2.254,1.168,1
chain_unary_n32_k1_definable_fixed_i17.model,DEFINABLE,DEFINABLE,2.263,1.159,1
chain_unary_n32_k1_definable_fixed_i18.model,DEFINABLE,DEFINABLE,2.498,1.167,1
chain_unary_n32_k1_definable_fixed_i19.model,DEFINABLE,DEFINABLE,2.373,1.157,1
chain_unary_n32_k1_definable_fixed_i2.model,DEFINABLE,DEFINABLE,2.327,1.143,1
chain_unary_n32_k1_definable_fixed_i20.model,DEFINABLE,DEFINABLE,2.405,1.164,1
chain_unary_n32_k1_definable_fixed_i21.model,DEFINABLE,DEFINABLE,2.294,1.140,1
chain_unary_n32_k1_definable_fixed_i22.model,DEFINABLE,DEFINABLE,2.200,1.452,1
chain_unary_n32_k1_definable_fixed_i23.model,DEFINABLE,DEFINABLE,2.480,1.470,1
chain_unary_n32_k1_definable_fixed_i24.model,DEFINABLE,DEFINABLE,2.232,1.324,1
chain_unary_n32_k1_definable_fixed_i25.model,DEFINABLE,DEFINABLE,2.499,1.440,1
chain_unary_n32_k1_definable_fixed_i26.model,DEFINABLE,DEFINABLE,2.176,1.529,1
chain_unary_n32_k1_definable_fixed_i27.model,DEFINABLE,DEFINABLE,2.260,1.152,1
chain_unary_n32_k1_definable_fixed_i28.model,DEFINABLE,DEFINABLE,2.305,1.145,1
chain_unary_n32_k1_definable_fixed_i29.model,DEFINABLE,DEFINABLE,2.400,1.141,1
chain_unary_n32_k1_definable_fixed_i3.model,DEFINABLE,DEFINABLE,2.206,1.159,1
chain_unary_n32_k1_definable_fixed_i4.model,DEFINABLE,DEFINABLE,2.449,1.322,1
chain_unary_n32_k1_definable_fixed_i5.model,DEFINABLE,DEFINABLE,2.241,1.151,1
chain_unary_n32_k1_definable_fixed_i6.model,DEFINABLE,DEFINABLE,2.157,1.170,1
chain_unary_n32_k1_definable_fixed_i7.model,DEFINABLE,DEFINABLE,2.239,1.189,1
chain_unary_n32_k1_definable_fixed_i8.model,DEFINABLE,DEFINABLE,2.094,1.519,1
chain_unary_n32_k1_definable_fixed_i9.model,DEFINABLE,DEFINABLE,2.190,1.466,1
chain_unary_n32_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,2.249,1.418,1
chain_unary_n32_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,2.591,1.135,1
chain_unary_n32_k1_nondef_mix_i10.model,DEFINABLE,DEFINABLE,2.312,1.130,1
chain_unary_n32_k1_nondef_mix_i11.model,DEFINABLE,DEFINABLE,2.234,1.345,1
chain_unary_n32_k1_nondef_mix_i12.model,DEFINABLE,DEFINABLE,2.294,1.768,1
chain_unary_n32_k1_nondef_mix_i13.model,DEFINABLE,DEFINABLE,2.195,1.391,1
chain_unary_n32_k1_nondef_mix_i14.model,DEFINABLE,DEFINABLE,2.424,1.632,1
chain_unary_n32_k1_nondef_mix_i15.model,DEFINABLE,DEFINABLE,2.283,1.418,1
chain_unary_n32_k1_nondef_mix_i16.model,DEFINABLE,DEFINABLE,2.249,1.433,1
chain_unary_n32_k1_nondef_mix_i17.model,DEFINABLE,DEFINABLE,2.407,1.135,1
chain_unary_n32_k1_nondef_mix_i18.model,DEFINABLE,DEFINABLE,2.187,1.143,1
chain_unary_n32_k1_nondef_mix_i19.model,DEFINABLE,DEFINABLE,2.321,1.590,1
chain_unary_n32_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,2.177,1.172,1
chain_unary_n32_k1_nondef_mix_i20.model,DEFINABLE,DEFINABLE,2.343,1.580,1
chain_unary_n32_k1_nondef_mix_i21.model,DEFINABLE,DEFINABLE,2.144,1.141,1
chain_unary_n32_k1_nondef_mix_i22.model,DEFINABLE,DEFINABLE,2.284,1.595,1
