model,hit,merge,hit_ms,merge_ms,agree
cyclic_group_n32_k1_definable_eq_i3.model,DEFINABLE,DEFINABLE,6.861,4.091,1
cyclic_group_n32_k1_definable_eq_i4.model,DEFINABLE,DEFINABLE,7.169,1.467,1
cyclic_group_n32_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,7.633,1.215,1
cyclic_group_n32_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,6.461,1.208,1
cyclic_group_n32_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,7.265,1.204,1
cyclic_group_n32_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,6.691,1.181,1
cyclic_group_n32_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,7.203,1.188,1
cyclic_group_n32_k2_definable_eq_i0.model,DEFINABLE,DEFINABLE,3.958,1.157,1
cyclic_group_n32_k2_definable_eq_i1.model,DEFINABLE,DEFINABLE,4.224,1.149,1
cyclic_group_n32_k2_definable_eq_i2.model,DEFINABLE,DEFINABLE,4.246,1.165,1
cyclic_group_n32_k2_definable_eq_i3.model,DEFINABLE,DEFINABLE,4.307,1.153,1
cyclic_group_n32_k2_definable_eq_i4.model,DEFINABLE,DEFINABLE,3.966,1.161,1
cyclic_group_n32_k2_nondef_mix_i0.model,DEFINABLE,DEFINABLE,149.320,50.061,1
cyclic_group_n32_k2_nondef_mix_i1.model,DEFINABLE,DEFINABLE,152.643,49.307,1
cyclic_group_n32_k2_nondef_mix_i2.model,DEFINABLE,DEFINABLE,152.147,49.519,1
cyclic_group_n32_k2_nondef_mix_i3.model,DEFINABLE,DEFINABLE,157.724,50.301,1
cyclic_group_n32_k2_nondef_mix_i4.model,DEFINABLE,DEFINABLE,157.912,49.602,1
cyclic_group_n4_k1_definable_eq_i0.model,DEFINABLE,DEFINABLE,0.094,0.108,1
cyclic_group_n4_k1_definable_eq_i1.model,DEFINABLE,DEFINABLE,0.091,0.117,1
cyclic_group_n4_k1_definable_eq_i2.model,DEFINABLE,DEFINABLE,0.104,0.123,1
cyclic_group_n4_k1_definable_eq_i3.model,DEFINABLE,DEFINABLE,0.094,0.133,1
cyclic_group_n4_k1_definable_eq_i4.model,DEFINABLE,DEFINABLE,0.090,0.123,1
cyclic_group_n4_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,0.091,0.202,1
cyclic_group_n4_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.091,0.177,1
cyclic_group_n4_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.093,0.164,1
cyclic_group_n4_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,0.094,0.111,1
cyclic_group_n4_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,0.108,0.124,1
cyclic_group_n4_k2_definable_eq_i0.model,DEFINABLE,DEFINABLE,0.047,0.089,1
cyclic_group_n4_k2_definable_eq_i1.model,DEFINABLE,DEFINABLE,0.055,0.097,1
cyclic_group_n4_k2_definable_eq_i2.model,DEFINABLE,DEFINABLE,0.056,0.086,1
cyclic_group_n4_k2_definable_eq_i3.model,DEFINABLE,DEFINABLE,0.058,0.091,1
cyclic_group_n4_k2_definable_eq_i4.model,DEFINABLE,DEFINABLE,0.051,0.100,1
cyclic_group_n4_k2_nondef_mix_i0.model,DEFINABLE,DEFINABLE,0.295,0.135,1
cyclic_group_n4_k2_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.420,0.130,1
cyclic_group_n4_k2_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.290,0.146,1
cyclic_group_n4_k2_nondef_mix_i3.model,DEFINABLE,DEFINABLE,0.500,0.154,1
cyclic_group_n4_k2_nondef_mix_i4.model,DEFINABLE,DEFINABLE,0.358,0.139,1
cyclic_group_n8_k1_definable_eq_i0.model,DEFINABLE,DEFINABLE,0.219,0.220,1
cyclic_group_n8_k1_definable_eq_i1.model,DEFINABLE,DEFINABLE,0.288,0.237,1
cyclic_group_n8_k1_definable_eq_i2.model,DEFINABLE,DEFINABLE,0.257,0.205,1
cyclic_group_n8_k1_definable_eq_i3.model,DEFINABLE,DEFINABLE,0.205,0.200,1
cyclic_group_n8_k1_definable_eq_i4.model,DEFINABLE,DEFINABLE,0.206,0.226,1
cyclic_group_n8_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,0.243,0.227,1
cyclic_group_n8_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.244,0.197,1
cyclic_group_n8_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.239,0.220,1
cyclic_group_n8_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,0.241,0.187,1
cyclic_group_n8_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,0.222,0.184,1
cyclic_group_n8_k2_definable_eq_i0.model,DEFINABLE,DEFINABLE,0.153,0.180,1
cyclic_group_n8_k2_definable_eq_i1.model,DEFINABLE,DEFINABLE,0.163,0.172,1
cyclic_group_n8_k2_definable_eq_i2.model,DEFINABLE,DEFINABLE,0.143,0.154,1
cyclic_group_n8_k2_definable_eq_i3.model,DEFINABLE,DEFINABLE,0.136,0.172,1
cyclic_group_n8_k2_definable_eq_i4.model,DEFINABLE,DEFINABLE,0.144,0.159,1
cyclic_group_n8_k2_nondef_mix_i0.model,DEFINABLE,DEFINABLE,4.203,0.548,1
cyclic_group_n8_k2_nondef_mix_i1.model,DEFINABLE,DEFINABLE,3.703,0.575,1
cyclic_group_n8_k2_nondef_mix_i2.model,DEFINABLE,DEFINABLE,4.149,0.596,1
cyclic_group_n8_k2_nondef_mix_i3.model,DEFINABLE,DEFINABLE,4.349,0.544,1
cyclic_group_n8_k2_nondef_mix_i4.model,DEFINABLE,DEFINABLE,3.817,0.547,1
random_magma_n16_k1_definable_eq_i0.model,DEFINABLE,DEFINABLE,2.370,4.685,1
random_magma_n16_k1_definable_eq_i1.model,DEFINABLE,DEFINABLE,2.266,1.454,1
random_magma_n16_k1_definable_eq_i2.model,DEFINABLE,DEFINABLE,2.342,1.232,1
random_magma_n16_k1_definable_eq_i3.model,DEFINABLE,DEFINABLE,2.344,1.090,1
random_magma_n16_k1_definable_eq_i4.model,DEFINABLE,DEFINABLE,2.185,1.163,1
random_magma_n16_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,2.173,1.094,1
random_magma_n16_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,2.065,1.073,1
random_magma_n16_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,2.085,1.150,1
