engine,model,ms,result
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_definable_eq_i2.model,1.120,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_definable_eq_i3.model,1.138,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_definable_eq_i4.model,1.126,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_nondef_mix_i0.model,1.412,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_nondef_mix_i1.model,1.395,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_nondef_mix_i2.model,1.428,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_nondef_mix_i3.model,1.381,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_nondef_mix_i4.model,1.384,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_definable_eq_i0.model,1.065,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_definable_eq_i1.model,1.031,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_definable_eq_i2.model,0.994,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_definable_eq_i3.model,1.034,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_definable_eq_i4.model,0.986,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_nondef_mix_i0.model,28.108,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_nondef_mix_i1.model,28.091,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_nondef_mix_i2.model,28.629,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_nondef_mix_i3.model,28.596,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_nondef_mix_i4.model,28.151,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i0.model,6.313,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i1.model,6.579,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i2.model,6.371,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i3.model,6.377,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i4.model,6.476,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i0.model,6.987,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i1.model,6.941,DEFINABLE
hit,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i2.model,7.033,DEFINABLE
