engine,model,ms,result
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_definable_eq_i2.model,0.422,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_definable_eq_i3.model,1.085,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_definable_eq_i4.model,0.402,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_nondef_mix_i0.model,0.418,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_nondef_mix_i1.model,0.402,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_nondef_mix_i2.model,0.402,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_nondef_mix_i3.model,0.404,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k1_nondef_mix_i4.model,0.392,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_definable_eq_i0.model,0.369,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_definable_eq_i1.model,0.361,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_definable_eq_i2.model,0.365,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_definable_eq_i3.model,0.367,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_definable_eq_i4.model,0.360,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_nondef_mix_i0.model,4.203,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_nondef_mix_i1.model,4.250,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_nondef_mix_i2.model,4.317,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_nondef_mix_i3.model,4.192,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n16_k2_nondef_mix_i4.model,4.264,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i0.model,1.186,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i1.model,1.183,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i2.model,1.203,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i3.model,4.091,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i4.model,1.467,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i0.model,1.215,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i1.model,1.208,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i2.model,1.204,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i3.model,1.181,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i4.model,1.188,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k2_definable_eq_i0.model,1.157,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k2_definable_eq_i1.model,1.149,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k2_definable_eq_i2.model,1.165,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k2_definable_eq_i3.model,1.153,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k2_definable_eq_i4.model,1.161,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k2_nondef_mix_i0.model,50.061,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k2_nondef_mix_i1.model,49.307,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k2_nondef_mix_i2.model,49.519,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k2_nondef_mix_i3.model,50.301,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n32_k2_nondef_mix_i4.model,49.602,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k1_definable_eq_i0.model,0.108,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k1_definable_eq_i1.model,0.117,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k1_definable_eq_i2.model,0.123,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k1_definable_eq_i3.model,0.133,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k1_definable_eq_i4.model,0.123,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k1_nondef_mix_i0.model,0.202,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k1_nondef_mix_i1.model,0.177,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k1_nondef_mix_i2.model,0.164,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k1_nondef_mix_i3.model,0.111,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k1_nondef_mix_i4.model,0.124,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k2_definable_eq_i0.model,0.089,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k2_definable_eq_i1.model,0.097,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k2_definable_eq_i2.model,0.086,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k2_definable_eq_i3.model,0.091,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k2_definable_eq_i4.model,0.100,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k2_nondef_mix_i0.model,0.135,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k2_nondef_mix_i1.model,0.130,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k2_nondef_mix_i2.model,0.146,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k2_nondef_mix_i3.model,0.154,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n4_k2_nondef_mix_i4.model,0.139,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k1_definable_eq_i0.model,0.220,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k1_definable_eq_i1.model,0.237,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k1_definable_eq_i2.model,0.205,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k1_definable_eq_i3.model,0.200,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k1_definable_eq_i4.model,0.226,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k1_nondef_mix_i0.model,0.227,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k1_nondef_mix_i1.model,0.197,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k1_nondef_mix_i2.model,0.220,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k1_nondef_mix_i3.model,0.187,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k1_nondef_mix_i4.model,0.184,DEFINABLE
merge,/home/pventura/src/OpenDefAlgSplitting/benches/scale/corpus/pilot/cyclic_group_n8_k2_definable_eq_i0.model,0.180,DEFINABLE
