engine,model,ms,result
hit,benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i0.model,6.574,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i1.model,6.822,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i2.model,7.178,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i3.model,6.861,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k1_definable_eq_i4.model,7.169,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i0.model,7.633,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i1.model,6.461,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i2.model,7.265,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i3.model,6.691,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k1_nondef_mix_i4.model,7.203,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k2_definable_eq_i0.model,3.958,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k2_definable_eq_i1.model,4.224,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k2_definable_eq_i2.model,4.246,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k2_definable_eq_i3.model,4.307,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k2_definable_eq_i4.model,3.966,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k2_nondef_mix_i0.model,149.320,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k2_nondef_mix_i1.model,152.643,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k2_nondef_mix_i2.model,152.147,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k2_nondef_mix_i3.model,157.724,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n32_k2_nondef_mix_i4.model,157.912,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k1_definable_eq_i0.model,0.094,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k1_definable_eq_i1.model,0.091,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k1_definable_eq_i2.model,0.104,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k1_definable_eq_i3.model,0.094,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k1_definable_eq_i4.model,0.090,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k1_nondef_mix_i0.model,0.091,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k1_nondef_mix_i1.model,0.091,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k1_nondef_mix_i2.model,0.093,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k1_nondef_mix_i3.model,0.094,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k1_nondef_mix_i4.model,0.108,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k2_definable_eq_i0.model,0.047,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k2_definable_eq_i1.model,0.055,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k2_definable_eq_i2.model,0.056,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k2_definable_eq_i3.model,0.058,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k2_definable_eq_i4.model,0.051,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k2_nondef_mix_i0.model,0.295,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k2_nondef_mix_i1.model,0.420,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k2_nondef_mix_i2.model,0.290,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k2_nondef_mix_i3.model,0.500,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n4_k2_nondef_mix_i4.model,0.358,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k1_definable_eq_i0.model,0.219,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k1_definable_eq_i1.model,0.288,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k1_definable_eq_i2.model,0.257,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k1_definable_eq_i3.model,0.205,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k1_definable_eq_i4.model,0.206,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k1_nondef_mix_i0.model,0.243,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k1_nondef_mix_i1.model,0.244,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k1_nondef_mix_i2.model,0.239,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k1_nondef_mix_i3.model,0.241,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k1_nondef_mix_i4.model,0.222,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k2_definable_eq_i0.model,0.153,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k2_definable_eq_i1.model,0.163,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k2_definable_eq_i2.model,0.143,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k2_definable_eq_i3.model,0.136,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k2_definable_eq_i4.model,0.144,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k2_nondef_mix_i0.model,4.203,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k2_nondef_mix_i1.model,3.703,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k2_nondef_mix_i2.model,4.149,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k2_nondef_mix_i3.model,4.349,DEFINABLE
hit,benches/scale/corpus/pilot/cyclic_group_n8_k2_nondef_mix_i4.model,3.817,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_definable_eq_i0.model,2.370,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_definable_eq_i1.model,2.266,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_definable_eq_i2.model,2.342,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_definable_eq_i3.model,2.344,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_definable_eq_i4.model,2.185,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_nondef_mix_i0.model,2.173,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_nondef_mix_i1.model,2.065,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_nondef_mix_i2.model,2.085,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_nondef_mix_i3.model,2.277,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_nondef_mix_i4.model,1.973,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_random_half_i0.model,2.177,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_random_half_i1.model,2.268,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_random_half_i2.model,2.177,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_random_half_i3.model,1.934,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k1_random_half_i4.model,2.053,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_definable_eq_i0.model,1.127,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_definable_eq_i1.model,1.117,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_definable_eq_i2.model,1.215,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_definable_eq_i3.model,1.130,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_definable_eq_i4.model,1.220,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_nondef_mix_i0.model,35.134,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_nondef_mix_i1.model,1.139,NOT_DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_nondef_mix_i2.model,36.314,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_nondef_mix_i3.model,35.285,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_nondef_mix_i4.model,39.520,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_random_half_i0.model,0.866,NOT_DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_random_half_i1.model,34.931,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_random_half_i2.model,37.143,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_random_half_i3.model,37.254,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n16_k2_random_half_i4.model,35.926,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_definable_eq_i0.model,0.026,NOT_DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_definable_eq_i1.model,13.368,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_definable_eq_i2.model,13.527,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_definable_eq_i3.model,12.852,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_definable_eq_i4.model,13.506,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_nondef_mix_i0.model,14.404,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_nondef_mix_i1.model,12.092,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_nondef_mix_i2.model,14.027,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_nondef_mix_i3.model,13.147,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_nondef_mix_i4.model,13.014,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_random_half_i0.model,6.269,NOT_DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_random_half_i1.model,12.654,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_random_half_i2.model,12.029,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_random_half_i3.model,11.592,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k1_random_half_i4.model,14.111,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_definable_eq_i0.model,6.821,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_definable_eq_i1.model,7.073,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_definable_eq_i2.model,6.980,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_definable_eq_i3.model,7.945,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_definable_eq_i4.model,7.211,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_nondef_mix_i0.model,253.000,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_nondef_mix_i1.model,241.984,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_nondef_mix_i2.model,265.194,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_nondef_mix_i3.model,242.918,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_nondef_mix_i4.model,248.948,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_random_half_i0.model,262.693,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_random_half_i1.model,243.500,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_random_half_i2.model,232.006,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_random_half_i3.model,248.573,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n32_k2_random_half_i4.model,251.553,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_definable_eq_i0.model,0.113,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_definable_eq_i1.model,0.114,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_definable_eq_i2.model,0.118,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_definable_eq_i3.model,0.097,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_definable_eq_i4.model,0.109,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_nondef_mix_i0.model,0.066,NOT_DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_nondef_mix_i1.model,0.099,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_nondef_mix_i2.model,0.140,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_nondef_mix_i3.model,0.117,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_nondef_mix_i4.model,0.138,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_random_half_i0.model,0.094,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_random_half_i1.model,0.125,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_random_half_i2.model,0.146,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k1_random_half_i3.model,0.046,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_definable_eq_i0.model,0.063,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_definable_eq_i1.model,0.058,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_definable_eq_i2.model,0.058,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_definable_eq_i3.model,0.058,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_definable_eq_i4.model,0.037,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_nondef_mix_i0.model,0.452,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_nondef_mix_i1.model,0.486,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_nondef_mix_i2.model,0.399,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_nondef_mix_i3.model,0.488,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_nondef_mix_i4.model,0.409,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_random_half_i0.model,0.410,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_random_half_i1.model,0.269,NOT_DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_random_half_i2.model,0.041,NOT_DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_random_half_i3.model,0.434,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n4_k2_random_half_i4.model,0.403,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_definable_eq_i0.model,0.409,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_definable_eq_i1.model,0.496,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_definable_eq_i2.model,0.309,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_definable_eq_i3.model,0.331,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_definable_eq_i4.model,0.409,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_nondef_mix_i0.model,0.393,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_nondef_mix_i1.model,0.410,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_nondef_mix_i2.model,0.468,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_nondef_mix_i3.model,0.330,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_nondef_mix_i4.model,0.500,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_random_half_i0.model,0.421,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_random_half_i1.model,0.091,NOT_DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_random_half_i2.model,0.390,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_random_half_i3.model,0.334,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k1_random_half_i4.model,0.102,NOT_DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_definable_eq_i0.model,0.173,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_definable_eq_i1.model,0.228,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_definable_eq_i2.model,0.166,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_definable_eq_i3.model,0.187,DEFINABLE
hit,benches/scale/corpus/pilot/random_magma_n8_k2_definable_eq_i4.model,0.231,DEFINABLE
