n,hit_median_s,merge_median_s,hit_n,merge_n
4,0.002204,0.000128,5,5
8,0.003057,0.001146,5,5
16,0.031137,0.016899,5,5
32,0.00988,0.249539,5,5
64,0.084295,4.18315,5,5
128,0.942332,120.735,5,5
